Date,IEFA,IEMG,IJH,IJR,IVV,IWF,IWM,QQQ,RSP,SCHD,SPY,VEA,VGT,VIG,VO,VOO,VTI,VTV,VUG,VWO,VXUS,XLE,XLF,XLG,XLK
2015-07-14,45.23519515991211,36.358497619628906,26.257009506225586,51.76750564575195,179.5269317626953,92.62846374511719,111.3268814086914,102.50928497314453,69.12557983398438,11.17111587524414,178.6586151123047,30.4822940826416,97.50743103027344,67.02912902832031,111.13398742675781,163.2501220703125,92.84929656982422,66.51339721679688,100.58973693847656,30.190532684326172,38.23843765258789,50.48479461669922,16.903385162353516,12.667825698852539,37.60780334472656
2015-07-15,45.06808853149414,35.94850540161133,26.1083927154541,51.407711029052734,179.4591522216797,92.5372085571289,110.73597717285156,102.62084197998047,68.8873291015625,11.136907577514648,178.5992431640625,30.361818313598633,97.5345230102539,66.90464782714844,110.61065673828125,163.1825714111328,92.7303695678711,66.4664535522461,100.4615249633789,29.821435928344727,38.01274490356445,49.59754180908203,17.045368194580078,12.696553230285645,37.616703033447266
2015-07-16,45.44029235839844,36.39718246459961,26.205167770385742,51.750179290771484,180.86509704589844,93.36775207519531,111.3974380493164,104.07122039794922,69.31273651123047,11.208171844482422,180.0323944091797,30.617830276489258,98.65331268310547,67.2863998413086,111.15975189208984,164.43292236328125,93.37592315673828,66.8887939453125,101.3589859008789,30.175472259521484,38.29862976074219,49.66526794433594,17.21440887451172,12.821907997131348,38.097599029541016
2015-07-17,45.36434555053711,36.3430290222168,25.994335174560547,51.4423942565918,181.05984497070312,93.86971282958984,110.91236877441406,105.6052017211914,68.9638900756836,11.15686321258545,180.18504333496094,30.572650909423828,100.01573944091797,67.02082824707031,110.593505859375,164.62730407714844,93.40142059326172,66.68546295166016,101.9359359741211,30.167943954467773,38.223388671875,49.06249237060547,17.16707992553711,12.90895938873291,38.685367584228516
2015-07-20,45.493465423583984,36.118682861328125,25.99260902404785,51.18663024902344,181.1276397705078,94.22567749023438,110.31265258789062,105.9677963256836,68.82776641845703,11.15116024017334,180.27830505371094,30.640424728393555,100.45785522460938,67.08723449707031,110.43907165527344,164.703369140625,93.40991973876953,66.61505889892578,102.23815155029297,29.979616165161133,38.261009216308594,48.41230010986328,17.187360763549805,12.950745582580566,38.89019775390625
2015-07-21,45.35673141479492,36.134151458740234,25.807695388793945,51.04790496826172,180.42466735839844,93.76020812988281,109.79229736328125,105.9027328491211,68.57249450683594,11.068495750427246,179.56594848632812,30.557601928710938,99.97962951660156,66.54781341552734,109.90721893310547,164.05279541015625,93.00218200683594,66.2162094116211,101.95425415039062,29.987157821655273,38.19329833984375,48.432621002197266,17.16707992553711,12.885454177856445,38.63194274902344
2015-07-22,45.0377082824707,35.66227340698242,25.868181228637695,51.17362594604492,180.07745361328125,93.43165588378906,110.197998046875,104.70341491699219,68.58951568603516,11.017187118530273,179.2437744140625,30.301559448242188,98.5721206665039,66.39842224121094,110.09593963623047,163.73175048828125,92.86628723144531,66.17710876464844,101.54215240478516,29.58792495727539,37.85477066040039,48.03980255126953,17.295547485351562,12.81407356262207,38.00855255126953
2015-07-23,44.90096664428711,35.35284423828125,25.700551986694336,50.54505920410156,179.10348510742188,92.91140747070312,108.98090362548828,104.31292724609375,68.26619720458984,10.968729972839355,178.23464965820312,30.203672409057617,98.4006576538086,66.09133911132812,109.70128631591797,162.7938690185547,92.33114624023438,65.82518768310547,100.95606231689453,29.33935546875,37.7193489074707,47.9991569519043,17.146787643432617,12.73137378692627,37.92839813232422
2015-07-24,44.460384368896484,34.850006103515625,25.46898651123047,49.88617706298828,177.2232208251953,92.00785827636719,107.22587585449219,103.29021453857422,67.5088882446289,10.849006652832031,176.38595581054688,29.87987518310547,97.72396087646484,65.58514404296875,108.71469116210938,161.09567260742188,91.36280059814453,65.09788513183594,100.01278686523438,28.91753578186035,37.245418548583984,47.07805252075195,16.984521865844727,12.615594863891602,37.72356414794922
2015-07-27,44.133758544921875,34.13056564331055,25.2823486328125,49.56970977783203,176.15611267089844,91.33246612548828,106.33512878417969,102.4349136352539,67.10047149658203,10.803399085998535,175.35987854003906,29.691625595092773,96.73147583007812,65.23661041259766,107.7967529296875,160.1831817626953,90.7597427368164,64.7303466796875,99.37174987792969,28.26972770690918,36.93698501586914,46.40077209472656,16.86281394958496,12.552043914794922,37.385162353515625
