Date,AGG,BIL,BND,EDV,IEF,IEI,SGOV,SHV,SHY,TLH,TLT,VGIT
2023-02-27,91.0587387084961,83.33448791503906,67.48963165283203,77.78239440917969,89.80109405517578,108.4328842163086,91.25048065185547,100.33098602294922,75.73017883300781,101.00760650634766,94.23118591308594,54.7554931640625
2023-02-28,91.04938507080078,83.34359741210938,67.50834655761719,78.0472640991211,89.9419937133789,108.48027801513672,91.26862335205078,100.33098602294922,75.71146392822266,101.14651489257812,94.65929412841797,54.79309844970703
2023-03-01,90.52787780761719,83.34813690185547,67.10841369628906,77.23436737060547,89.22290802001953,107.98867797851562,91.27593994140625,100.34922790527344,75.5728530883789,100.12235260009766,93.64237213134766,54.49640655517578
2023-03-02,90.3403091430664,83.37548065185547,66.96759033203125,76.36666107177734,88.85587310791016,107.78938293457031,91.32149505615234,100.39486694335938,75.60092163085938,99.28668975830078,92.81200408935547,54.364559173583984
2023-03-03,91.05311584472656,83.39370727539062,67.48394012451172,78.91497802734375,89.5711441040039,108.15000915527344,91.33061981201172,100.40399932861328,75.64778900146484,101.02303314208984,95.06049346923828,54.609432220458984
2023-03-06,90.82801818847656,83.40281677246094,67.3243408203125,78.11119842529297,89.41117095947266,108.07406616210938,91.32149505615234,100.41310119628906,75.6103286743164,100.60519409179688,94.32342529296875,54.54350662231445
2023-03-07,90.70608520507812,83.40281677246094,67.24923706054688,78.787109375,89.42059326171875,107.8463134765625,91.34883880615234,100.39486694335938,75.45109558105469,101.04159545898438,94.90188598632812,54.46815490722656
2023-03-08,90.6123046875,83.42105102539062,67.19290161132812,79.01544952392578,89.39234924316406,107.76089477539062,91.35794067382812,100.40399932861328,75.41361999511719,101.1158676147461,94.99517059326172,54.421058654785156
2023-03-09,90.9405746459961,83.43927764892578,67.41822052001953,78.95149993896484,89.94763946533203,108.40625762939453,91.38528442382812,100.45875549316406,75.65715026855469,101.53369903564453,95.22840118408203,54.760128021240234
2023-03-10,92.00041198730469,83.45750427246094,68.22561645507812,82.44969940185547,91.60408782958984,109.6684341430664,91.40351867675781,100.5043716430664,76.06930541992188,104.50497436523438,98.51245880126953,55.46652603149414
2023-03-13,92.73199462890625,83.47572326660156,68.77014923095703,82.56843566894531,92.71468353271484,110.9875717163086,91.43084716796875,100.6230239868164,76.82803344726562,105.7306137084961,98.73640441894531,56.13524627685547
2023-03-14,92.18799591064453,83.48482513427734,68.33828735351562,80.65037536621094,91.83938598632812,110.27581024169922,91.44908142089844,100.56824493408203,76.53762817382812,104.2264175415039,97.11299896240234,55.74909973144531
2023-03-15,93.10716247558594,83.5303955078125,69.04243469238281,82.6141128540039,93.16641235351562,111.5474853515625,91.48553466796875,100.66863250732422,76.98725128173828,106.11131286621094,98.98829650878906,56.42723083496094
2023-03-16,92.74138641357422,83.56684112548828,68.71381378173828,81.63680267333984,92.32878875732422,110.7787857055664,91.50377655029297,100.65951538085938,76.67816162109375,105.04348754882812,98.21389770507812,56.003395080566406
2023-03-17,93.32290649414062,83.58507537841797,69.21143341064453,83.40873718261719,93.42054748535156,111.72779846191406,91.51285552978516,100.7325210571289,77.06220245361328,106.00916290283203,99.68801879882812,56.54967498779297
2023-03-20,92.94773864746094,83.59420776367188,68.9109878540039,82.3035659790039,93.04408264160156,111.41464233398438,91.52196502685547,100.71426391601562,76.96854400634766,105.39634704589844,98.81102752685547,56.35189437866211
2023-03-21,92.66633605957031,83.59420776367188,68.72322845458984,81.57286834716797,92.23466491699219,110.6838607788086,91.54930114746094,100.68689727783203,76.67816162109375,104.47710418701172,97.96204376220703,55.956302642822266
2023-03-22,93.557373046875,83.61241912841797,69.33346557617188,82.62323760986328,93.44879913330078,111.7373046875,91.54021453857422,100.72340393066406,77.03409576416016,105.97203826904297,99.26820373535156,56.54025650024414
2023-03-23,93.78244018554688,83.64888000488281,69.49307250976562,82.12089538574219,93.98524475097656,112.3731460571289,91.57666015625,100.78729248046875,77.2589340209961,106.21343994140625,99.26820373535156,56.879337310791016
2023-03-24,93.9419174194336,83.66708374023438,69.63389587402344,82.87897491455078,94.01350402832031,112.34465026855469,91.61310577392578,100.79640197753906,77.29637908935547,106.62200164794922,99.68801879882812,56.86048126220703
2023-03-27,92.92897033691406,83.65798950195312,68.9109878540039,80.51335906982422,92.8558578491211,111.42411804199219,91.59490203857422,100.79640197753906,76.96854400634766,104.82067108154297,97.34626770019531,56.33304977416992
2023-03-28,92.78827667236328,83.67622375488281,68.78893280029297,80.65037536621094,92.79937744140625,111.21534729003906,91.62222290039062,100.80554962158203,76.88423919677734,104.83924102783203,97.52352142333984,56.2482795715332
2023-03-29,92.90081024169922,83.67622375488281,68.8640365600586,80.50423431396484,92.63936614990234,111.11093139648438,91.63134002685547,100.81465148925781,76.85613250732422,104.62567901611328,97.32759094238281,56.172935485839844
2023-03-30,93.0040054321289,83.69441986083984,68.95791625976562,80.93350982666016,92.78055572509766,111.17738342285156,91.6495590209961,100.8329086303711,76.86548614501953,105.01565551757812,97.77542114257812,56.238861083984375
2023-03-31,93.45418548583984,83.67622375488281,69.31468200683594,82.69631958007812,93.28880310058594,111.6518783569336,91.65868377685547,100.84202575683594,76.95916748046875,106.35271453857422,99.24018859863281,56.474327087402344
2023-04-03,93.86040496826172,83.69634246826172,69.60926055908203,82.9300537109375,93.72822570800781,111.98841857910156,91.6696548461914,100.83379364013672,77.05303955078125,106.64337921142578,99.70694732666016,56.67725372314453
2023-04-04,94.20831298828125,83.70549011230469,69.89163208007812,83.57420349121094,94.3317642211914,112.57784271240234,91.68793487548828,100.87042236328125,77.23140716552734,107.37928771972656,100.20264434814453,56.97927474975586
2023-04-05,94.52801513671875,83.75122833251953,70.07987213134766,84.66004943847656,94.72785949707031,112.79647827148438,91.72454071044922,100.92536926269531,77.33466339111328,108.36673736572266,101.25022888183594,57.12085723876953
2023-04-06,94.44337463378906,83.7603988647461,70.06104278564453,85.10176086425781,94.75614166259766,112.78697967529297,91.75196838378906,100.92536926269531,77.30648803710938,108.43193817138672,101.5121078491211,57.13029479980469
2023-04-10,93.79457092285156,83.76953887939453,69.59046173095703,83.38095092773438,93.8225326538086,112.01696014404297,91.7611083984375,100.91622924804688,77.03425598144531,107.12776184082031,99.87528991699219,56.705570220947266
